Antiarrhythmics | group
potassium-sparing diuretics | group
gold | group
HIV Protease Inhibitors | group
HIV protease inhibitors | group
agents with b-blocking properties | group
monoamine oxidase inhibitors | group
agents with b-blocking properties | group
agents with b-blocking properties | group
b-blocking agent | group
Calcium Channel Blockers | group
agents with b-blocking properties | group
calcium channel blockers | group
Hypoglycemics | group
Agents with b-blocking properties | group
hypoglycemics | group
hypoglycemics | group
neuroleptics | group
neuroleptics | group
neuroleptics | group
neuroleptics | group
Antacid | group
antacid | group
Coumarin Anticoagulants | group
coumarin-derivative anticoagulants | group
coumarin-derivative anticoagulants | group
psychotropic medications | group
Monoamine Oxidase Inhibitors | group
MAOIs | group
NSAIDs | group
psychotropic drugs | group
NSAID | group
selective serotonin reuptake inhibitor | group
SSRI | group
SSRI | group
tricyclic antidepressant | group
beta-adrenergic blocker | group
Antacids | group
antacid | group
antacids | group
topoisomerase-targeting antitumor drugs | group
oxytocic agents | group
oxytocic agents | group
Antacids | group
Uricosuric drugs | group
antibacterial | group
antibiotics | group
Central nervous system depressant | group
antidepressants | group
antihistamines | group
antipsychotics | group
beta-blockers | group
muscle relaxants | group
narcotics | group
sedatives | group
tranquilizers | group
Coumarin-Type Anticoagulants | group
coumarin-type anticoagulants | group
nonsteroidal anti-inflammatory agents | group
coumarin-type anticoagulants | group
anticoagulants | group
nonsteroidal anti-inflammatory agents | group
nonsteroidal anti-inflammatory drugs | group
thiazides | group
diuretic | group
anticholinesterase agents | group
narcotic analgesics | group
antipsychotics | group
antianxiety agents | group
CNS depressants | group
MAO inhibitors | group
tricyclic antidepressants | group
antidepressant | group
anticholinergics | group
warfarin-type anticoagulant | group
barbiturates | group
contraceptives | group
anticoagulants | group
barbiturates | group
corticosteroids | group
corticosteroids | group
Androgens | group
anticoagulant | group
androgens | group
androgens | group
Anabolic steroids | group
Androgens | group
Antithyroid agents | group
Estrogens | group
contraceptives | group
estrogen | group
anti-infectives | group
Phenothiazines | group
Vitamin K | group
Anticoagulants | group
blood thinner | group
Antidiabetics | group
antidiabetics | group
antidiabetics | group
coumarin anticoagulant | group
coumarin anticoagulants | group
anticoagulant | group
cephalosporins | group
cephalosporin | group
cephalosporins | group
calcium channel blocker | group
ACE inhibitors | group
vasodilators | group
ACE inhibitors | group
anticholinergic drugs | group
anticholinergic drugs | group
decongestants | group
anesthetics | group
sympathomimetic amine | group
tricyclic antidepressants | group
CNS depressant drugs | group
barbiturates | group
tricyclic antidepressants | group
TCAs | group
TCA | group
TCA | group
antidepressants | group
phenothiazines | group
Type 1C antiarrhythmics | group
selective serotonin reuptake inhibitors | group
SSRIs | group
SSRI | group
TCA | group
SSRI | group
SSRIs | group
tricyclic antidepressants | group
tricyclic antidepressant | group
tricyclic antidepressant | group
TCA | group
TCA | group
ACE inhibitors | group
NSAIDs | group
Angiotensin Converting Enzyme (ACE) inhibitors | group
ACE inhibitor | group
ACE inhibitor | group
ACE inhibitors | group
NSAIDs | group
thiazides | group
NSAIDs | group
Contraceptives | group
antacid | group
antacid products | group
antacids | group
anticholinergics | group
emetic | group
antacids | group
H2-antagonists | group
proton pump inhibitors | group
Anticoagulants | group
coumarins | group
anticoagulants | group
anticoagulants | group
Antacids | group
antacids | group
antacids | group
antacids | group
Nonsteroidal anti-inflammatory drugs | group
nonsteroial anti-inflammatory drugs | group
NSAIDs | group
Nonsteroidal Anti-Inflammatory Drugs | group
NSAIDs | group
Salicylate | group
progestin-only oral contraceptives | group
POC | group
POCs | group
POCs | group
POCs | group
estrogen | group
contraceptives | group
estrogen | group
Antihistamines | group
Benzodiazepines | group
Anti-Migraine | group
Antifungal | group
macrolide antibiotics | group
opiate | group
contraceptives | group
contraceptives | group
protease inhibitor | group
Anticoagulants | group
Anticonvulsants | group
anticonvulsant | group
anticonvulsant | group
Antifungals | group
imidazole antifungals | group
triazole antifungals | group
Anti-HIV protease inhibitors | group
Non-nucleoside reverse transcriptase inhibitors | group
NNRTIs | group
aluminum/magnesium hydroxide antacids | group
NRTIs | group
NRTIs | group
aminoglycosides | group
curare-like compounds | group
botulinum neurotoxin | group
botulinum toxin | group
botulinum toxin | group
ACE-inhibitors | group
NSAIDs | group
ACE-inhibitors | group
ACE-inhibitors | group
NSAIDs | group
thiazides | group
Anticonvulsants | group
anticonvulsants | group
Contraceptives | group
contraceptive | group
contraceptive | group
antidepressants | group
antidepressant drugs | group
hypoglycemic agents | group
antidepressant agents | group
antidepressants | group
antipsychotic drug | group
antiparkinsonian drug | group
tricyclic antidepressant | group
anti-depressants | group
anti-anxiety drugs | group
beta-blockers | group
narcotic | group
antihistamines | group
